variable,sensor_name,timestamp_utc,value,value_json
water_potential_hydrogen,AtlasPH-Reservoir,2020-01-02 22:09:17 UTC,10.02,"{'values':[{'name':'AtlasPH-Reservoir', 'type':'float', 'value':10.02}]}"
water_potential_hydrogen,AtlasPH-Reservoir,2020-01-02 22:14:17 UTC,9.63,"{'values':[{'name':'AtlasPH-Reservoir', 'type':'float', 'value':9.63}]}"
water_potential_hydrogen,AtlasPH-Reservoir,2020-01-02 22:19:18 UTC,9.20,"{'values':[{'name':'AtlasPH-Reservoir', 'type':'float', 'value':9.20}]}"
water_potential_hydrogen,AtlasPH-Reservoir,2020-01-02 22:24:17 UTC,8.65,"{'values':[{'name':'AtlasPH-Reservoir', 'type':'float', 'value':8.65}]}"
water_potential_hydrogen,AtlasPH-Reservoir,2020-01-02 22:29:17 UTC,8.06,"{'values':[{'name':'AtlasPH-Reservoir', 'type':'float', 'value':8.06}]}"
water_potential_hydrogen,AtlasPH-Reservoir,2020-01-02 22:34:18 UTC,7.46,"{'values':[{'name':'AtlasPH-Reservoir', 'type':'float', 'value':7.46}]}"
water_potential_hydrogen,AtlasPH-Reservoir,2020-01-02 22:39:18 UTC,6.81,"{'values':[{'name':'AtlasPH-Reservoir', 'type':'float', 'value':6.81}]}"
water_potential_hydrogen,AtlasPH-Reservoir,2020-01-02 22:44:18 UTC,6.15,"{'values':[{'name':'AtlasPH-Reservoir', 'type':'float', 'value':6.15}]}"
water_potential_hydrogen,AtlasPH-Reservoir,2020-01-02 22:49:18 UTC,5.49,"{'values':[{'name':'AtlasPH-Reservoir', 'type':'float', 'value':5.49}]}"
water_potential_hydrogen,AtlasPH-Reservoir,2020-01-02 22:54:18 UTC,4.84,"{'values':[{'name':'AtlasPH-Reservoir', 'type':'float', 'value':4.84}]}"
water_potential_hydrogen,AtlasPH-Reservoir,2020-01-02 22:59:18 UTC,4.20,"{'values':[{'name':'AtlasPH-Reservoir', 'type':'float', 'value':4.20}]}"
water_potential_hydrogen,AtlasPH-Reservoir,2020-01-02 23:04:19 UTC,3.58,"{'values':[{'name':'AtlasPH-Reservoir', 'type':'float', 'value':3.58}]}"
water_potential_hydrogen,AtlasPH-Reservoir,2020-01-02 23:09:19 UTC,2.98,"{'values':[{'name':'AtlasPH-Reservoir', 'type':'float', 'value':2.98}]}"
water_potential_hydrogen,AtlasPH-Reservoir,2020-01-02 23:14:20 UTC,2.40,"{'values':[{'name':'AtlasPH-Reservoir', 'type':'float', 'value':2.40}]}"
water_potential_hydrogen,AtlasPH-Reservoir,2020-01-02 23:19:20 UTC,1.85,"{'values':[{'name':'AtlasPH-Reservoir', 'type':'float', 'value':1.85}]}"
water_potential_hydrogen,AtlasPH-Reservoir,2020-01-02 23:24:20 UTC,1.32,"{'values':[{'name':'AtlasPH-Reservoir', 'type':'float', 'value':1.32}]}"
water_potential_hydrogen,AtlasPH-Reservoir,2020-01-02 23:29:20 UTC,0.83,"{'values':[{'name':'AtlasPH-Reservoir', 'type':'float', 'value':0.83}]}"
water_potential_hydrogen,AtlasPH-Reservoir,2020-01-02 23:34:20 UTC,0.36,"{'values':[{'name':'AtlasPH-Reservoir', 'type':'float', 'value':0.36}]}"
water_potential_hydrogen,AtlasPH-Reservoir,2020-01-06 14:01:12 UTC,0.01,"{'values':[{'name':'AtlasPH-Reservoir', 'type':'float', 'value':0.01}]}"
water_potential_hydrogen,AtlasPH-Reservoir,2020-01-06 14:06:13 UTC,0.06,"{'values':[{'name':'AtlasPH-Reservoir', 'type':'float', 'value':0.06}]}"
water_potential_hydrogen,AtlasPH-Reservoir,2020-01-06 14:11:14 UTC,0.11,"{'values':[{'name':'AtlasPH-Reservoir', 'type':'float', 'value':0.11}]}"
water_potential_hydrogen,AtlasPH-Reservoir,2020-01-06 14:16:13 UTC,0.16,"{'values':[{'name':'AtlasPH-Reservoir', 'type':'float', 'value':0.16}]}"
water_potential_hydrogen,AtlasPH-Reservoir,2020-01-06 14:21:14 UTC,0.20,"{'values':[{'name':'AtlasPH-Reservoir', 'type':'float', 'value':0.20}]}"
