variable,sensor_name,timestamp_utc,value,value_json
T21-47-05Z,URL,2020-01-02 21:52:37 UTC,https://storage.googleapis.com/openag-v1-images/EDU-5A1AFC43-b8-27-eb-56-c4-eb_2020-01-02_T21-47-05Z_Camera-Top.png,"{'values':[{'name':'URL', 'type':'str', 'value':'https://storage.googleapis.com/openag-v1-images/EDU-5A1AFC43-b8-27-eb-56-c4-eb_2020-01-02_T21-47-05Z_Camera-Top.png'}]}"
T21-42-33Z,URL,2020-01-02 21:52:48 UTC,https://storage.googleapis.com/openag-v1-images/EDU-5A1AFC43-b8-27-eb-56-c4-eb_2020-01-02_T21-42-33Z_Camera-Top.png,"{'values':[{'name':'URL', 'type':'str', 'value':'https://storage.googleapis.com/openag-v1-images/EDU-5A1AFC43-b8-27-eb-56-c4-eb_2020-01-02_T21-42-33Z_Camera-Top.png'}]}"
T22-47-05Z,URL,2020-01-02 22:52:40 UTC,https://storage.googleapis.com/openag-v1-images/EDU-5A1AFC43-b8-27-eb-56-c4-eb_2020-01-02_T22-47-05Z_Camera-Top.png,"{'values':[{'name':'URL', 'type':'str', 'value':'https://storage.googleapis.com/openag-v1-images/EDU-5A1AFC43-b8-27-eb-56-c4-eb_2020-01-02_T22-47-05Z_Camera-Top.png'}]}"
T23-47-06Z,URL,2020-01-02 23:52:44 UTC,https://storage.googleapis.com/openag-v1-images/EDU-5A1AFC43-b8-27-eb-56-c4-eb_2020-01-02_T23-47-06Z_Camera-Top.png,"{'values':[{'name':'URL', 'type':'str', 'value':'https://storage.googleapis.com/openag-v1-images/EDU-5A1AFC43-b8-27-eb-56-c4-eb_2020-01-02_T23-47-06Z_Camera-Top.png'}]}"
T00-47-06Z,URL,2020-01-03 00:52:45 UTC,https://storage.googleapis.com/openag-v1-images/EDU-5A1AFC43-b8-27-eb-56-c4-eb_2020-01-03_T00-47-06Z_Camera-Top.png,"{'values':[{'name':'URL', 'type':'str', 'value':'https://storage.googleapis.com/openag-v1-images/EDU-5A1AFC43-b8-27-eb-56-c4-eb_2020-01-03_T00-47-06Z_Camera-Top.png'}]}"
T01-47-06Z,URL,2020-01-03 01:52:47 UTC,https://storage.googleapis.com/openag-v1-images/EDU-5A1AFC43-b8-27-eb-56-c4-eb_2020-01-03_T01-47-06Z_Camera-Top.png,"{'values':[{'name':'URL', 'type':'str', 'value':'https://storage.googleapis.com/openag-v1-images/EDU-5A1AFC43-b8-27-eb-56-c4-eb_2020-01-03_T01-47-06Z_Camera-Top.png'}]}"
T02-47-06Z,URL,2020-01-03 02:52:48 UTC,https://storage.googleapis.com/openag-v1-images/EDU-5A1AFC43-b8-27-eb-56-c4-eb_2020-01-03_T02-47-06Z_Camera-Top.png,"{'values':[{'name':'URL', 'type':'str', 'value':'https://storage.googleapis.com/openag-v1-images/EDU-5A1AFC43-b8-27-eb-56-c4-eb_2020-01-03_T02-47-06Z_Camera-Top.png'}]}"
T03-47-06Z,URL,2020-01-03 03:53:09 UTC,https://storage.googleapis.com/openag-v1-images/EDU-5A1AFC43-b8-27-eb-56-c4-eb_2020-01-03_T03-47-06Z_Camera-Top.png,"{'values':[{'name':'URL', 'type':'str', 'value':'https://storage.googleapis.com/openag-v1-images/EDU-5A1AFC43-b8-27-eb-56-c4-eb_2020-01-03_T03-47-06Z_Camera-Top.png'}]}"
T04-47-06Z,URL,2020-01-03 04:52:51 UTC,https://storage.googleapis.com/openag-v1-images/EDU-5A1AFC43-b8-27-eb-56-c4-eb_2020-01-03_T04-47-06Z_Camera-Top.png,"{'values':[{'name':'URL', 'type':'str', 'value':'https://storage.googleapis.com/openag-v1-images/EDU-5A1AFC43-b8-27-eb-56-c4-eb_2020-01-03_T04-47-06Z_Camera-Top.png'}]}"
T05-47-06Z,URL,2020-01-03 05:52:55 UTC,https://storage.googleapis.com/openag-v1-images/EDU-5A1AFC43-b8-27-eb-56-c4-eb_2020-01-03_T05-47-06Z_Camera-Top.png,"{'values':[{'name':'URL', 'type':'str', 'value':'https://storage.googleapis.com/openag-v1-images/EDU-5A1AFC43-b8-27-eb-56-c4-eb_2020-01-03_T05-47-06Z_Camera-Top.png'}]}"
