variable,sensor_name,timestamp_utc,value,value_json
water_temperature_celsius,AtlasTemp-Reservoir,2020-01-02 21:47:02 UTC,20.08,"{'values':[{'name':'AtlasTemp-Reservoir', 'type':'float', 'value':20.08}]}"
water_temperature_celsius,AtlasTemp-Reservoir,2020-01-02 21:52:04 UTC,20.14,"{'values':[{'name':'AtlasTemp-Reservoir', 'type':'float', 'value':20.14}]}"
water_temperature_celsius,AtlasTemp-Reservoir,2020-01-02 21:57:04 UTC,20.12,"{'values':[{'name':'AtlasTemp-Reservoir', 'type':'float', 'value':20.12}]}"
water_temperature_celsius,AtlasTemp-Reservoir,2020-01-02 22:02:03 UTC,20.13,"{'values':[{'name':'AtlasTemp-Reservoir', 'type':'float', 'value':20.13}]}"
water_temperature_celsius,AtlasTemp-Reservoir,2020-01-02 22:07:04 UTC,20.03,"{'values':[{'name':'AtlasTemp-Reservoir', 'type':'float', 'value':20.03}]}"
water_temperature_celsius,AtlasTemp-Reservoir,2020-01-02 22:12:04 UTC,20.15,"{'values':[{'name':'AtlasTemp-Reservoir', 'type':'float', 'value':20.15}]}"
water_temperature_celsius,AtlasTemp-Reservoir,2020-01-02 22:17:03 UTC,20.33,"{'values':[{'name':'AtlasTemp-Reservoir', 'type':'float', 'value':20.33}]}"
water_temperature_celsius,AtlasTemp-Reservoir,2020-01-02 22:22:04 UTC,20.23,"{'values':[{'name':'AtlasTemp-Reservoir', 'type':'float', 'value':20.23}]}"
water_temperature_celsius,AtlasTemp-Reservoir,2020-01-02 22:27:05 UTC,20.46,"{'values':[{'name':'AtlasTemp-Reservoir', 'type':'float', 'value':20.46}]}"
water_temperature_celsius,AtlasTemp-Reservoir,2020-01-02 22:32:04 UTC,20.34,"{'values':[{'name':'AtlasTemp-Reservoir', 'type':'float', 'value':20.34}]}"
water_temperature_celsius,AtlasTemp-Reservoir,2020-01-02 22:37:04 UTC,20.55,"{'values':[{'name':'AtlasTemp-Reservoir', 'type':'float', 'value':20.55}]}"
water_temperature_celsius,AtlasTemp-Reservoir,2020-01-02 22:42:04 UTC,20.66,"{'values':[{'name':'AtlasTemp-Reservoir', 'type':'float', 'value':20.66}]}"
water_temperature_celsius,AtlasTemp-Reservoir,2020-01-02 22:47:04 UTC,20.74,"{'values':[{'name':'AtlasTemp-Reservoir', 'type':'float', 'value':20.74}]}"
water_temperature_celsius,AtlasTemp-Reservoir,2020-01-02 22:52:04 UTC,20.77,"{'values':[{'name':'AtlasTemp-Reservoir', 'type':'float', 'value':20.77}]}"
water_temperature_celsius,AtlasTemp-Reservoir,2020-01-02 22:57:05 UTC,20.91,"{'values':[{'name':'AtlasTemp-Reservoir', 'type':'float', 'value':20.91}]}"
water_temperature_celsius,AtlasTemp-Reservoir,2020-01-02 23:02:05 UTC,20.91,"{'values':[{'name':'AtlasTemp-Reservoir', 'type':'float', 'value':20.91}]}"
water_temperature_celsius,AtlasTemp-Reservoir,2020-01-02 23:07:06 UTC,20.86,"{'values':[{'name':'AtlasTemp-Reservoir', 'type':'float', 'value':20.86}]}"
