variable,sensor_name,timestamp_utc,value,value_json
T21-43-44Z,URL,2020-01-02 21:53:26 UTC,https://storage.googleapis.com/openag-v1-images/EDU-8B4F396B-b8-27-eb-64-36-a2_2020-01-02_T21-43-44Z_Camera-Top.png,"{'values':[{'name':'URL', 'type':'str', 'value':'https://storage.googleapis.com/openag-v1-images/EDU-8B4F396B-b8-27-eb-64-36-a2_2020-01-02_T21-43-44Z_Camera-Top.png'}]}"
T21-48-05Z,URL,2020-01-02 21:53:37 UTC,https://storage.googleapis.com/openag-v1-images/EDU-8B4F396B-b8-27-eb-64-36-a2_2020-01-02_T21-48-05Z_Camera-Top.png,"{'values':[{'name':'URL', 'type':'str', 'value':'https://storage.googleapis.com/openag-v1-images/EDU-8B4F396B-b8-27-eb-64-36-a2_2020-01-02_T21-48-05Z_Camera-Top.png'}]}"
T22-48-05Z,URL,2020-01-02 22:53:41 UTC,https://storage.googleapis.com/openag-v1-images/EDU-8B4F396B-b8-27-eb-64-36-a2_2020-01-02_T22-48-05Z_Camera-Top.png,"{'values':[{'name':'URL', 'type':'str', 'value':'https://storage.googleapis.com/openag-v1-images/EDU-8B4F396B-b8-27-eb-64-36-a2_2020-01-02_T22-48-05Z_Camera-Top.png'}]}"
T23-48-05Z,URL,2020-01-02 23:53:32 UTC,https://storage.googleapis.com/openag-v1-images/EDU-8B4F396B-b8-27-eb-64-36-a2_2020-01-02_T23-48-05Z_Camera-Top.png,"{'values':[{'name':'URL', 'type':'str', 'value':'https://storage.googleapis.com/openag-v1-images/EDU-8B4F396B-b8-27-eb-64-36-a2_2020-01-02_T23-48-05Z_Camera-Top.png'}]}"
T00-48-05Z,URL,2020-01-03 00:53:48 UTC,https://storage.googleapis.com/openag-v1-images/EDU-8B4F396B-b8-27-eb-64-36-a2_2020-01-03_T00-48-05Z_Camera-Top.png,"{'values':[{'name':'URL', 'type':'str', 'value':'https://storage.googleapis.com/openag-v1-images/EDU-8B4F396B-b8-27-eb-64-36-a2_2020-01-03_T00-48-05Z_Camera-Top.png'}]}"
T01-48-05Z,URL,2020-01-03 01:53:44 UTC,https://storage.googleapis.com/openag-v1-images/EDU-8B4F396B-b8-27-eb-64-36-a2_2020-01-03_T01-48-05Z_Camera-Top.png,"{'values':[{'name':'URL', 'type':'str', 'value':'https://storage.googleapis.com/openag-v1-images/EDU-8B4F396B-b8-27-eb-64-36-a2_2020-01-03_T01-48-05Z_Camera-Top.png'}]}"
T02-48-05Z,URL,2020-01-03 02:53:45 UTC,https://storage.googleapis.com/openag-v1-images/EDU-8B4F396B-b8-27-eb-64-36-a2_2020-01-03_T02-48-05Z_Camera-Top.png,"{'values':[{'name':'URL', 'type':'str', 'value':'https://storage.googleapis.com/openag-v1-images/EDU-8B4F396B-b8-27-eb-64-36-a2_2020-01-03_T02-48-05Z_Camera-Top.png'}]}"
T03-48-05Z,URL,2020-01-03 03:53:50 UTC,https://storage.googleapis.com/openag-v1-images/EDU-8B4F396B-b8-27-eb-64-36-a2_2020-01-03_T03-48-05Z_Camera-Top.png,"{'values':[{'name':'URL', 'type':'str', 'value':'https://storage.googleapis.com/openag-v1-images/EDU-8B4F396B-b8-27-eb-64-36-a2_2020-01-03_T03-48-05Z_Camera-Top.png'}]}"
T04-48-05Z,URL,2020-01-03 04:53:50 UTC,https://storage.googleapis.com/openag-v1-images/EDU-8B4F396B-b8-27-eb-64-36-a2_2020-01-03_T04-48-05Z_Camera-Top.png,"{'values':[{'name':'URL', 'type':'str', 'value':'https://storage.googleapis.com/openag-v1-images/EDU-8B4F396B-b8-27-eb-64-36-a2_2020-01-03_T04-48-05Z_Camera-Top.png'}]}"
T05-48-05Z,URL,2020-01-03 05:53:57 UTC,https://storage.googleapis.com/openag-v1-images/EDU-8B4F396B-b8-27-eb-64-36-a2_2020-01-03_T05-48-05Z_Camera-Top.png,"{'values':[{'name':'URL', 'type':'str', 'value':'https://storage.googleapis.com/openag-v1-images/EDU-8B4F396B-b8-27-eb-64-36-a2_2020-01-03_T05-48-05Z_Camera-Top.png'}]}"
T06-48-05Z,URL,2020-01-03 06:53:51 UTC,https://storage.googleapis.com/openag-v1-images/EDU-8B4F396B-b8-27-eb-64-36-a2_2020-01-03_T06-48-05Z_Camera-Top.png,"{'values':[{'name':'URL', 'type':'str', 'value':'https://storage.googleapis.com/openag-v1-images/EDU-8B4F396B-b8-27-eb-64-36-a2_2020-01-03_T06-48-05Z_Camera-Top.png'}]}"
T07-48-05Z,URL,2020-01-03 07:54:08 UTC,https://storage.googleapis.com/openag-v1-images/EDU-8B4F396B-b8-27-eb-64-36-a2_2020-01-03_T07-48-05Z_Camera-Top.png,"{'values':[{'name':'URL', 'type':'str', 'value':'https://storage.googleapis.com/openag-v1-images/EDU-8B4F396B-b8-27-eb-64-36-a2_2020-01-03_T07-48-05Z_Camera-Top.png'}]}"
T08-48-05Z,URL,2020-01-03 08:54:06 UTC,https://storage.googleapis.com/openag-v1-images/EDU-8B4F396B-b8-27-eb-64-36-a2_2020-01-03_T08-48-05Z_Camera-Top.png,"{'values':[{'name':'URL', 'type':'str', 'value':'https://storage.googleapis.com/openag-v1-images/EDU-8B4F396B-b8-27-eb-64-36-a2_2020-01-03_T08-48-05Z_Camera-Top.png'}]}"
