variable,sensor_name,timestamp_utc,value,value_json
boot,,2020-01-15T15:31:53Z,,"{""device_config"": ""pfc4-v0.1.0"", ""package_version"": null, ""IP"": ""192.168.1.57"", ""access_point"": ""unknown"", ""serial_number"": ""aged-shape"", ""remote_URL"": ""https://ade91d61c8b070016e58d2c25d54a833.balena-devices.com"", ""bbb_serial"": ""DEPRECATED""}"
boot,,2020-01-16T15:12:20Z,,"{""device_config"": ""pfc4-v0.1.0"", ""package_version"": null, ""IP"": ""192.168.1.57"", ""access_point"": ""unknown"", ""serial_number"": ""aged-shape"", ""remote_URL"": ""https://ade91d61c8b070016e58d2c25d54a833.balena-devices.com"", ""bbb_serial"": ""DEPRECATED""}"
boot,,2020-01-19T19:49:24Z,,"{""device_config"": ""pfc4-v0.1.0"", ""package_version"": null, ""IP"": ""192.168.1.57"", ""access_point"": ""unknown"", ""serial_number"": ""aged-shape"", ""remote_URL"": ""https://ade91d61c8b070016e58d2c25d54a833.balena-devices.com"", ""bbb_serial"": ""DEPRECATED""}"
boot,,2020-01-22T15:01:09Z,,"{""device_config"": ""pfc4-v0.1.0"", ""package_version"": null, ""IP"": ""192.168.1.57"", ""access_point"": ""unknown"", ""serial_number"": ""aged-shape"", ""remote_URL"": ""https://ade91d61c8b070016e58d2c25d54a833.balena-devices.com"", ""bbb_serial"": ""DEPRECATED""}"
boot,,2020-01-23T17:51:29Z,,"{""device_config"": ""pfc4-v0.1.0"", ""package_version"": null, ""IP"": ""192.168.1.57"", ""access_point"": ""unknown"", ""serial_number"": ""aged-shape"", ""remote_URL"": ""https://ade91d61c8b070016e58d2c25d54a833.balena-devices.com"", ""bbb_serial"": ""DEPRECATED""}"
boot,,2020-01-28T15:34:17Z,,"{""device_config"": ""pfc4-v0.1.0"", ""package_version"": null, ""IP"": ""192.168.1.57"", ""access_point"": ""unknown"", ""serial_number"": ""aged-shape"", ""remote_URL"": ""https://ade91d61c8b070016e58d2c25d54a833.balena-devices.com"", ""bbb_serial"": ""DEPRECATED""}"
boot,,2020-01-29T13:46:38Z,,"{""device_config"": ""pfc4-v0.1.0"", ""package_version"": null, ""IP"": ""192.168.1.57"", ""access_point"": ""unknown"", ""serial_number"": ""aged-shape"", ""remote_URL"": ""https://ade91d61c8b070016e58d2c25d54a833.balena-devices.com"", ""bbb_serial"": ""DEPRECATED""}"
boot,,2020-01-29T16:47:11Z,,"{""device_config"": ""pfc4-v0.1.0"", ""package_version"": null, ""IP"": ""192.168.1.57"", ""access_point"": ""unknown"", ""serial_number"": ""aged-shape"", ""remote_URL"": ""https://ade91d61c8b070016e58d2c25d54a833.balena-devices.com"", ""bbb_serial"": ""DEPRECATED""}"
boot,,2020-01-29T16:50:27Z,,"{""device_config"": ""pfc4-v0.1.0"", ""package_version"": null, ""IP"": ""192.168.1.57"", ""access_point"": ""unknown"", ""serial_number"": ""aged-shape"", ""remote_URL"": ""https://ade91d61c8b070016e58d2c25d54a833.balena-devices.com"", ""bbb_serial"": ""DEPRECATED""}"
boot,,2020-01-30T18:25:44Z,,"{""device_config"": ""pfc4-v0.1.0"", ""package_version"": null, ""IP"": ""192.168.1.57"", ""access_point"": ""unknown"", ""serial_number"": ""aged-shape"", ""remote_URL"": ""https://ade91d61c8b070016e58d2c25d54a833.balena-devices.com"", ""bbb_serial"": ""DEPRECATED""}"
boot,,2020-02-05T10:53:48Z,,"{""device_config"": ""pfc4-v0.1.0"", ""package_version"": null, ""IP"": ""192.168.1.57"", ""access_point"": ""unknown"", ""serial_number"": ""aged-shape"", ""remote_URL"": ""https://ade91d61c8b070016e58d2c25d54a833.balena-devices.com"", ""bbb_serial"": ""DEPRECATED""}"
boot,,2020-02-05T11:22:32Z,,"{""device_config"": ""pfc4-v0.1.0"", ""package_version"": null, ""IP"": ""192.168.1.57"", ""access_point"": ""unknown"", ""serial_number"": ""aged-shape"", ""remote_URL"": ""https://ade91d61c8b070016e58d2c25d54a833.balena-devices.com"", ""bbb_serial"": ""DEPRECATED""}"
boot,,2020-02-07T14:38:45Z,,"{""device_config"": ""pfc4-v0.1.0"", ""package_version"": null, ""IP"": ""192.168.1.57"", ""access_point"": ""unknown"", ""serial_number"": ""aged-shape"", ""remote_URL"": ""https://ade91d61c8b070016e58d2c25d54a833.balena-devices.com"", ""bbb_serial"": ""DEPRECATED""}"
boot,,2020-02-08T00:15:11Z,,"{""device_config"": ""pfc4-v0.1.0"", ""package_version"": null, ""IP"": ""192.168.1.57"", ""access_point"": ""unknown"", ""serial_number"": ""aged-shape"", ""remote_URL"": ""https://ade91d61c8b070016e58d2c25d54a833.balena-devices.com"", ""bbb_serial"": ""DEPRECATED""}"
boot,,2020-02-13T13:07:04Z,,"{""device_config"": ""pfc4-v0.1.0"", ""package_version"": null, ""IP"": ""192.168.1.57"", ""access_point"": ""unknown"", ""serial_number"": ""aged-shape"", ""remote_URL"": ""https://ade91d61c8b070016e58d2c25d54a833.balena-devices.com"", ""bbb_serial"": ""DEPRECATED""}"
boot,,2020-02-14T09:52:34Z,,"{""device_config"": ""pfc4-v0.1.0"", ""package_version"": null, ""IP"": ""192.168.1.57"", ""access_point"": ""unknown"", ""serial_number"": ""aged-shape"", ""remote_URL"": ""https://ade91d61c8b070016e58d2c25d54a833.balena-devices.com"", ""bbb_serial"": ""DEPRECATED""}"
boot,,2020-02-14T10:01:48Z,,"{""device_config"": ""pfc4-v0.1.0"", ""package_version"": null, ""IP"": ""192.168.1.57"", ""access_point"": ""unknown"", ""serial_number"": ""aged-shape"", ""remote_URL"": ""https://ade91d61c8b070016e58d2c25d54a833.balena-devices.com"", ""bbb_serial"": ""DEPRECATED""}"
boot,,2020-02-14T10:17:55Z,,"{""device_config"": ""pfc4-v0.1.0"", ""package_version"": null, ""IP"": ""192.168.1.57"", ""access_point"": ""unknown"", ""serial_number"": ""aged-shape"", ""remote_URL"": ""https://ade91d61c8b070016e58d2c25d54a833.balena-devices.com"", ""bbb_serial"": ""DEPRECATED""}"
boot,,2020-02-20T12:13:25Z,,"{""device_config"": ""pfc4-v0.1.0"", ""package_version"": null, ""IP"": ""192.168.1.57"", ""access_point"": ""unknown"", ""serial_number"": ""aged-shape"", ""remote_URL"": ""https://ade91d61c8b070016e58d2c25d54a833.balena-devices.com"", ""bbb_serial"": ""DEPRECATED""}"
boot,,2020-02-22T01:47:20Z,,"{""device_config"": ""pfc4-v0.1.0"", ""package_version"": null, ""IP"": ""192.168.1.57"", ""access_point"": ""unknown"", ""serial_number"": ""aged-shape"", ""remote_URL"": ""https://ade91d61c8b070016e58d2c25d54a833.balena-devices.com"", ""bbb_serial"": ""DEPRECATED""}"
boot,,2020-02-22T01:56:26Z,,"{""device_config"": ""pfc4-v0.1.0"", ""package_version"": null, ""IP"": ""192.168.1.57"", ""access_point"": ""unknown"", ""serial_number"": ""aged-shape"", ""remote_URL"": ""https://ade91d61c8b070016e58d2c25d54a833.balena-devices.com"", ""bbb_serial"": ""DEPRECATED""}"
boot,,2020-02-27T03:49:57Z,,"{""device_config"": ""pfc4-v0.1.0"", ""package_version"": null, ""IP"": ""192.168.1.57"", ""access_point"": ""unknown"", ""serial_number"": ""aged-shape"", ""remote_URL"": ""https://ade91d61c8b070016e58d2c25d54a833.balena-devices.com"", ""bbb_serial"": ""DEPRECATED""}"
boot,,2020-02-27T05:21:54Z,,"{""device_config"": ""pfc4-v0.1.0"", ""package_version"": null, ""IP"": ""192.168.1.57"", ""access_point"": ""unknown"", ""serial_number"": ""aged-shape"", ""remote_URL"": ""https://ade91d61c8b070016e58d2c25d54a833.balena-devices.com"", ""bbb_serial"": ""DEPRECATED""}"
boot,,2020-02-27T09:00:42Z,,"{""device_config"": ""pfc4-v0.1.0"", ""package_version"": null, ""IP"": ""192.168.1.57"", ""access_point"": ""unknown"", ""serial_number"": ""aged-shape"", ""remote_URL"": ""https://ade91d61c8b070016e58d2c25d54a833.balena-devices.com"", ""bbb_serial"": ""DEPRECATED""}"
boot,,2020-03-04T09:35:35Z,,"{""device_config"": ""pfc4-v0.1.0"", ""package_version"": null, ""IP"": ""192.168.1.57"", ""access_point"": ""unknown"", ""serial_number"": ""aged-shape"", ""remote_URL"": ""https://ade91d61c8b070016e58d2c25d54a833.balena-devices.com"", ""bbb_serial"": ""DEPRECATED""}"
boot,,2020-03-04T09:43:50Z,,"{""device_config"": ""pfc4-v0.1.0"", ""package_version"": null, ""IP"": ""192.168.1.57"", ""access_point"": ""unknown"", ""serial_number"": ""aged-shape"", ""remote_URL"": ""https://ade91d61c8b070016e58d2c25d54a833.balena-devices.com"", ""bbb_serial"": ""DEPRECATED""}"
